,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
221,24045,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
222,24046,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
223,24047,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
224,24048,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
225,24049,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
226,24050,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
227,24051,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
228,24052,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
229,24053,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
230,25002,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
231,25003,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
232,25004,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
233,30001,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
234,30002,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
235,30003,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
236,30005,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
237,30006,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
238,30007,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
239,30011,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
240,30012,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
241,30017,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0
242,30019,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
243,30021,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
244,30022,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
245,30023,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
249,30027,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
250,30028,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
251,30029,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
252,30030,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
253,30032,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
254,30033,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
255,30037,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
256,30038,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
257,30039,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
258,30042,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
259,30043,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
260,30044,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
261,30045,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
262,30046,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
263,30047,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
264,30048,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
